grid_id,col,row_mod_8,status
1,0,0,N
1,1,0,N
1,2,0,B
1,3,0,N
1,4,0,N
1,5,0,N
1,6,0,N
1,7,0,N
1,0,1,N
1,1,1,B
1,2,1,B
1,3,1,N
1,4,1,B
1,5,1,N
1,6,1,B
1,7,1,N
1,0,2,N
1,1,2,N
1,2,2,N
1,3,2,N
1,4,2,N
1,5,2,N
1,6,2,N
1,7,2,N
1,0,3,N
1,1,3,N
1,2,3,N
1,3,3,N
1,4,3,N
1,5,3,N
1,6,3,H
1,7,3,N
1,0,4,N
1,1,4,H
1,2,4,H
1,3,4,N
1,4,4,H
1,5,4,N
1,6,4,H
1,7,4,N
1,0,5,N
1,1,5,N
1,2,5,B
1,3,5,N
1,4,5,N
1,5,5,N
1,6,5,H
1,7,5,N
1,0,6,N
1,1,6,N
1,2,6,N
1,3,6,N
1,4,6,N
1,5,6,N
1,6,6,H
1,7,6,N
1,0,7,N
1,1,7,N
1,2,7,N
1,3,7,B
1,4,7,N
1,5,7,N
1,6,7,H
1,7,7,N
2,0,0,H
2,1,0,N
2,2,0,N
2,3,0,N
2,4,0,N
2,5,0,N
2,6,0,N
2,7,0,N
2,0,1,H
2,1,1,N
2,2,1,N
2,3,1,N
2,4,1,N
2,5,1,B
2,6,1,N
2,7,1,N
2,0,2,H
2,1,2,N
2,2,2,N
2,3,2,B
2,4,2,N
2,5,2,N
2,6,2,N
2,7,2,N
2,0,3,H
2,1,3,H
2,2,3,N
2,3,3,B
2,4,3,B
2,5,3,B
2,6,3,N
2,7,3,N
2,0,4,N
2,1,4,N
2,2,4,N
2,3,4,N
2,4,4,N
2,5,4,N
2,6,4,N
2,7,4,N
2,0,5,N
2,1,5,N
2,2,5,N
2,3,5,N
2,4,5,N
2,5,5,N
2,6,5,N
2,7,5,N
2,0,6,N
2,1,6,N
2,2,6,N
2,3,6,N
2,4,6,N
2,5,6,N
2,6,6,N
2,7,6,N
2,0,7,N
2,1,7,N
2,2,7,N
2,3,7,N
2,4,7,N
2,5,7,B
2,6,7,B
2,7,7,N
3,0,0,N
3,1,0,N
3,2,0,N
3,3,0,N
3,4,0,H
3,5,0,H
3,6,0,H
3,7,0,N
3,0,1,N
3,1,1,N
3,2,1,N
3,3,1,N
3,4,1,N
3,5,1,N
3,6,1,N
3,7,1,N
3,0,2,N
3,1,2,B
3,2,2,B
3,3,2,H
3,4,2,N
3,5,2,H
3,6,2,N
3,7,2,N
3,0,3,H
3,1,3,N
3,2,3,H
3,3,3,H
3,4,3,N
3,5,3,N
3,6,3,B
3,7,3,N
3,0,4,N
3,1,4,N
3,2,4,N
3,3,4,N
3,4,4,N
3,5,4,N
3,6,4,N
3,7,4,N
3,0,5,B
3,1,5,N
3,2,5,N
3,3,5,N
3,4,5,N
3,5,5,N
3,6,5,N
3,7,5,N
3,0,6,N
3,1,6,B
3,2,6,N
3,3,6,N
3,4,6,N
3,5,6,B
3,6,6,N
3,7,6,B
3,0,7,N
3,1,7,N
3,2,7,N
3,3,7,N
3,4,7,N
3,5,7,N
3,6,7,N
3,7,7,N
4,0,0,N
4,1,0,N
4,2,0,N
4,3,0,N
4,4,0,B
4,5,0,N
4,6,0,N
4,7,0,N
4,0,1,H
4,1,1,H
4,2,1,N
4,3,1,H
4,4,1,H
4,5,1,N
4,6,1,N
4,7,1,N
4,0,2,N
4,1,2,H
4,2,2,H
4,3,2,H
4,4,2,H
4,5,2,N
4,6,2,N
4,7,2,N
4,0,3,N
4,1,3,B
4,2,3,N
4,3,3,N
4,4,3,N
4,5,3,N
4,6,3,N
4,7,3,N
4,0,4,N
4,1,4,N
4,2,4,N
4,3,4,N
4,4,4,N
4,5,4,N
4,6,4,H
4,7,4,N
4,0,5,N
4,1,5,B
4,2,5,B
4,3,5,N
4,4,5,N
4,5,5,N
4,6,5,N
4,7,5,N
4,0,6,N
4,1,6,N
4,2,6,N
4,3,6,N
4,4,6,B
4,5,6,N
4,6,6,N
4,7,6,N
4,0,7,B
4,1,7,N
4,2,7,B
4,3,7,N
4,4,7,N
4,5,7,N
4,6,7,N
4,7,7,N
5,0,0,B
5,1,0,N
5,2,0,N
5,3,0,N
5,4,0,N
5,5,0,N
5,6,0,H
5,7,0,N
5,0,1,N
5,1,1,N
5,2,1,N
5,3,1,N
5,4,1,N
5,5,1,N
5,6,1,H
5,7,1,N
5,0,2,N
5,1,2,N
5,2,2,N
5,3,2,N
5,4,2,N
5,5,2,B
5,6,2,N
5,7,2,N
5,0,3,N
5,1,3,N
5,2,3,N
5,3,3,H
5,4,3,B
5,5,3,N
5,6,3,N
5,7,3,N
5,0,4,N
5,1,4,N
5,2,4,N
5,3,4,H
5,4,4,B
5,5,4,H
5,6,4,N
5,7,4,N
5,0,5,N
5,1,5,N
5,2,5,N
5,3,5,H
5,4,5,N
5,5,5,H
5,6,5,N
5,7,5,N
5,0,6,N
5,1,6,N
5,2,6,N
5,3,6,B
5,4,6,N
5,5,6,N
5,6,6,N
5,7,6,N
5,0,7,N
5,1,7,N
5,2,7,N
5,3,7,B
5,4,7,N
5,5,7,N
5,6,7,N
5,7,7,B
6,0,0,N
6,1,0,N
6,2,0,N
6,3,0,N
6,4,0,B
6,5,0,N
6,6,0,N
6,7,0,N
6,0,1,N
6,1,1,N
6,2,1,B
6,3,1,B
6,4,1,N
6,5,1,N
6,6,1,B
6,7,1,B
6,0,2,N
6,1,2,N
6,2,2,N
6,3,2,N
6,4,2,N
6,5,2,H
6,6,2,N
6,7,2,N
6,0,3,N
6,1,3,N
6,2,3,N
6,3,3,N
6,4,3,N
6,5,3,N
6,6,3,N
6,7,3,N
6,0,4,N
6,1,4,N
6,2,4,N
6,3,4,N
6,4,4,N
6,5,4,N
6,6,4,N
6,7,4,N
6,0,5,N
6,1,5,N
6,2,5,H
6,3,5,N
6,4,5,B
6,5,5,N
6,6,5,N
6,7,5,N
6,0,6,N
6,1,6,N
6,2,6,N
6,3,6,B
6,4,6,N
6,5,6,N
6,6,6,N
6,7,6,N
6,0,7,N
6,1,7,N
6,2,7,H
6,3,7,H
6,4,7,N
6,5,7,H
6,6,7,H
6,7,7,N
7,0,0,N
7,1,0,H
7,2,0,H
7,3,0,H
7,4,0,N
7,5,0,B
7,6,0,N
7,7,0,N
7,0,1,N
7,1,1,N
7,2,1,H
7,3,1,N
7,4,1,N
7,5,1,N
7,6,1,N
7,7,1,B
7,0,2,N
7,1,2,N
7,2,2,H
7,3,2,N
7,4,2,N
7,5,2,N
7,6,2,N
7,7,2,N
7,0,3,N
7,1,3,N
7,2,3,H
7,3,3,N
7,4,3,N
7,5,3,N
7,6,3,B
7,7,3,N
7,0,4,N
7,1,4,N
7,2,4,H
7,3,4,N
7,4,4,B
7,5,4,B
7,6,4,N
7,7,4,N
7,0,5,N
7,1,5,B
7,2,5,N
7,3,5,N
7,4,5,N
7,5,5,N
7,6,5,N
7,7,5,N
7,0,6,N
7,1,6,N
7,2,6,N
7,3,6,N
7,4,6,N
7,5,6,N
7,6,6,N
7,7,6,B
7,0,7,N
7,1,7,N
7,2,7,H
7,3,7,H
7,4,7,H
7,5,7,N
7,6,7,N
7,7,7,N
8,0,0,N
8,1,0,N
8,2,0,B
8,3,0,N
8,4,0,B
8,5,0,N
8,6,0,N
8,7,0,N
8,0,1,N
8,1,1,B
8,2,1,N
8,3,1,N
8,4,1,B
8,5,1,N
8,6,1,N
8,7,1,B
8,0,2,N
8,1,2,N
8,2,2,H
8,3,2,H
8,4,2,H
8,5,2,N
8,6,2,N
8,7,2,N
8,0,3,H
8,1,3,N
8,2,3,N
8,3,3,N
8,4,3,N
8,5,3,N
8,6,3,N
8,7,3,N
8,0,4,N
8,1,4,N
8,2,4,N
8,3,4,B
8,4,4,N
8,5,4,N
8,6,4,H
8,7,4,N
8,0,5,N
8,1,5,N
8,2,5,N
8,3,5,N
8,4,5,N
8,5,5,N
8,6,5,H
8,7,5,N
8,0,6,H
8,1,6,N
8,2,6,N
8,3,6,N
8,4,6,B
8,5,6,N
8,6,6,H
8,7,6,N
8,0,7,N
8,1,7,N
8,2,7,N
8,3,7,N
8,4,7,N
8,5,7,N
8,6,7,N
8,7,7,N
9,0,0,N
9,1,0,N
9,2,0,N
9,3,0,N
9,4,0,N
9,5,0,B
9,6,0,N
9,7,0,N
9,0,1,H
9,1,1,H
9,2,1,H
9,3,1,N
9,4,1,N
9,5,1,H
9,6,1,N
9,7,1,N
9,0,2,N
9,1,2,N
9,2,2,B
9,3,2,N
9,4,2,N
9,5,2,N
9,6,2,N
9,7,2,N
9,0,3,N
9,1,3,N
9,2,3,N
9,3,3,N
9,4,3,N
9,5,3,H
9,6,3,N
9,7,3,N
9,0,4,H
9,1,4,N
9,2,4,N
9,3,4,N
9,4,4,N
9,5,4,N
9,6,4,N
9,7,4,N
9,0,5,N
9,1,5,N
9,2,5,N
9,3,5,N
9,4,5,N
9,5,5,N
9,6,5,N
9,7,5,N
9,0,6,N
9,1,6,N
9,2,6,N
9,3,6,N
9,4,6,N
9,5,6,N
9,6,6,B
9,7,6,B
9,0,7,B
9,1,7,N
9,2,7,B
9,3,7,B
9,4,7,N
9,5,7,N
9,6,7,N
9,7,7,N
10,0,0,N
10,1,0,N
10,2,0,N
10,3,0,N
10,4,0,B
10,5,0,N
10,6,0,N
10,7,0,N
10,0,1,N
10,1,1,N
10,2,1,N
10,3,1,H
10,4,1,H
10,5,1,H
10,6,1,N
10,7,1,N
10,0,2,B
10,1,2,N
10,2,2,N
10,3,2,N
10,4,2,N
10,5,2,N
10,6,2,N
10,7,2,N
10,0,3,N
10,1,3,N
10,2,3,N
10,3,3,N
10,4,3,N
10,5,3,N
10,6,3,H
10,7,3,N
10,0,4,H
10,1,4,N
10,2,4,N
10,3,4,N
10,4,4,B
10,5,4,N
10,6,4,H
10,7,4,N
10,0,5,H
10,1,5,N
10,2,5,N
10,3,5,N
10,4,5,N
10,5,5,B
10,6,5,H
10,7,5,N
10,0,6,N
10,1,6,B
10,2,6,N
10,3,6,N
10,4,6,B
10,5,6,N
10,6,6,N
10,7,6,B
10,0,7,N
10,1,7,N
10,2,7,N
10,3,7,N
10,4,7,N
10,5,7,N
10,6,7,N
